Id,IsSold,WeeksOnStockBeforeSale,onAction,SalesSeason,TotalPrice,CarAgeYears,Kilometers,Kilowatts,Horsepower,Cars,EngineType,BodyType,TransmissionType,Color,NumberofDoors,Alarm,AlloyWheels17,ASR,AutomaticClimateControl,BiXenon,BluetoothConnection,RemoteLocking,ElectricWindows,ElectricFoldingMirrors,ElectricMirrorAdjustment,ESP,KeylessGo,LEDLights,SteeringWheelButtons,RearHeadrest,Armrest,Navigation,MobileDevicePreparation,TripComputer,RearParkingSensor,CruiseControl,Xenon,ChromePackage,FogLights,HeatedFrontSeats,FrontParkingSensor,AlloyWheels17,AlloyWheels19,ParkingCamera,PanoramicRoof,SlidingPanoramicRoof,AllWheelDrive,ManualAirConditioning,SideRollerBlinds,HeatedRearSeats,AlloyWheels19,ElectricSeatAdjustment,ElectricSunroof,SeatMemoryPackage,RearRollerBlind,CooledFrontSeats,HeadUpDisplay,ParkAssist,360ParkingCamera,AlloyWheels21,PassengerSeatMemoryPackage,AirSuspension,AlloyWheels22,AlloyWheels21,CooledRearSeats,FrontElectricWindows,AlloyWheels16,VirtualCockpit,Alcantara,LeatherAlcantara,Leather,Fabric,LeatherFabric
1029,0,55.14,1,,13590,6,139800,77,105,Audi_A3,Diesel,Sedan,Manual_6_speed,Black metallic,doors_4_5,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1031,1,4.14,0,Winter,12815,6,138899,81,110,Audi_A3,Diesel,Sedan,Manual_6_speed,Black metallic,doors_4_5,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1033,1,2.14,0,Winter,13328,6,157812,77,105,Audi_A3,Diesel,Sedan,Automatic,Black metallic,doors_4_5,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1035,1,3.14,0,Winter,12815,7,148117,77,105,Audi_A3,Diesel,Sedan,Automatic,White metallic,doors_4_5,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1037,1,10.14,0,Spring,13841,5,153709,81,110,Audi_A3,Diesel,Sedan,Automatic,Black metallic,doors_4_5,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1039,1,10.14,1,Spring,12815,5,154825,81,110,Audi_A3,Diesel,Sedan,Manual_6_speed,Silver metallic,doors_4_5,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1041,1,8.14,0,Winter,12815,6,133772,81,110,Audi_A3,Diesel,Sedan,Manual_6_speed,Grey metallic,doors_4_5,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1043,1,24.14,1,Summer,13328,5,147528,81,110,Audi_A3,Diesel,Sedan,Manual_6_speed,Blue metallic,doors_4_5,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1045,1,10.14,0,Spring,14354,6,154919,110,150,Audi_A3,Diesel,Sedan,Manual_6_speed,Black metallic,doors_4_5,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1047,1,25.14,0,Summer,14354,4,156375,110,150,Audi_A3,Diesel,Sedan,Manual_6_speed,Black metallic,doors_4_5,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
